Group Name~`,Group Type~`,Category~`,Mission~`,Keywords~`,Link~`
DEPAUL DECA~`,General Student Organization~`,Academic & Pre-Professional~`,"DePaul DECA prepares DePaul University students to become emerging leaders and entrepreneurs in professional fields such as but not limited to marketing, finance and accounting, hospitality, and management.~`","Business, Entrepreneurship, DECA~`",https://dehub.depaul.edu/DECA/club_signup~`
DePaul Deutsch Club~`,General Student Organization~`,Cultural~`,The DePaul Deutsch Club has been established to further enhance DePaul student and faculty access to German language and culture. We hope to introduce the German culture as one of vibrancy and innovation through social and educational events both on and off campus.~`,"Deutsch, German~`",https://dehub.depaul.edu/deutschdemons/club_signup~`
DePaul DJ Club~`,General Student Organization~`,Entertainment & Performance~`,"It is the mission of this organization to empower DePaul disc jockeys through collaboration and community. We aim to promote creativity, inclusion, and innovation in the art of DJing in order to incorporate Vincentian values into our club. We aim to provide opportunities to learn and grow as DJs.~`","DJ, Music~`",https://dehub.depaul.edu/DDJ/club_signup~`
DePaul Doctor Who Club~`,General Student Organization~`,"Cultural, Special Interest~`","DePaul Doctor Who Club is an inclusive space for fans of the British Sci-fi series Doctor Who to meet, discuss episodes, hear from guest speakers, learn about the making of the series, watch and listen to content, and discuss the series. The group also does activities related to Doctor Who like attending Chicago Tardis, visiting local businesses, and playing themed board games.~`",Doctor Who~`,https://dehub.depaul.edu/DePaulDocWho/club_signup~`
DePaul Economics Club~`,General Student Organization~`,"Academic & Pre-Professional, Special Interest~`","It is the mission of the Economics Club to connect students who share an interest in Economics, aid in academic/professional discovery, be an outlet for Economic discourse and the spread of Economic knowledge through a newsletter, and foster a community for likeminded individuals while upholding DePaul's Vincentian values.~`","Economics, Business~`",https://dehub.depaul.edu/DPEC/club_signup~`
DePaul Euchre Club~`,General Student Organization~`,Special Interest~`,The purpose of the DePaul Euchre Cub is to establish a euchre-playing student community at DePaul. We want to create a space for students to be able to meet other students who are interested in playing euchre. DePaul Euchre Club also aims to teach new players the ins and outs of how to play so they can join this community.~`,Euchre~`,https://dehub.depaul.edu/DEC/club_signup~`
DePaul Event Management Club~`,General Student Organization~`,Academic & Pre-Professional~`,"The mission of the Event Management Club is to encourage the exchange of talents, knowledge, and experiences between its members, the DePaul community, and the Events Industry. We aim to connect students interested in the Events Industry to industry organizations, professionals, and opportunities. Finally, we hope to provide a safe space for professional growth and advice seeking.~`",Event management~`,https://dehub.depaul.edu/EMC/club_signup~`
DePaul Experience Design Roundtable~`,General Student Organization~`,Academic & Pre-Professional~`,"The DePaul User Experience Association was founded to create a platform for User Experience Design students to collaborate, experiment, and develop their skills. While other CDM and STEM clubs at DePaul are inclusive, none specifically focus on the evolving field of User Experience Design. Our association unites not only UXD students but also those from related disciplines such as graphic design, information technology, computer science, and psychology. We provide opportunities for hands-on learning, fostering an environment where members can collaborate, network, and learn from industry professionals. Our goal is to strengthen the design community and provide a space for students to practice and grow their skills through real-world challenges and projects.~`","User Experience Design, UX/UI~`",https://dehub.depaul.edu/XDR/club_signup~`
DePaul Females in Finance Initiative~`,General Student Organization~`,Academic & Pre-Professional~`,"The mission of this organization to serve the student organizations of the DePaul University through socially responsible leadership and the Vincentian values. We seek to empower future female leaders in the finance industry by building confidence through knowledge and self development. We believe in human dignity and the power of community, and by helping each other we can reach new heights.~`","Finance, Business~`",https://dehub.depaul.edu/FIF/club_signup~`
DePaul Fighters~`,General Student Organization~`,Esports & Gaming~`,"DePaul Fighters aims to create a competitive, yet friendly hub for all people willing to play, practice, and learn to improve in Fighting Games for tournaments.~`",Fighting games~`,https://dehub.depaul.edu/DPFighters/club_signup~`
DePaul Film Fatales~`,General Student Organization~`,Academic & Pre-Professional~`,"DePaul Film Fatales is a student run organization with the mission of supporting the academic and creative needs unique to women and gender non-conforming persons in Digital Cinema. We aim to foster a network of support among women and gender non-conforming persons in all areas of film production, and to increase the number of films by, for, and about women and gender non-conforming persons.~`","Film, Cinema~`",https://dehub.depaul.edu/DFF/club_signup~`
DePaul Flag Football Club~`,Club Sports~`,Club Sports~`,"This will allow the team to work on fitness, healthy lives, and being part of a larger community. This club will allow for each participant to make their networking opportunities grow and help for future aspirations. Offer an alternative from the recreational leagues that DePaul has in the spring and fall and provide a place for players to compete against other schools.~`",Flag football~`,https://dehub.depaul.edu/DPFFC/club_signup~`
DePaul Fundamental Research in Academic Gaming~`,General Student Organization~`,"Esports & Gaming, Special Interest~`","The purpose of this organization is to provide a social gaming environment for DePaul students, to promote the Computer Games Development program at DePaul, and to foster computer game development for DePaul students.~`","Gaming, Game Development~`",https://dehub.depaul.edu/DeFRAG/club_signup~`
DePaul Geography Student Association~`,General Student Organization~`,"Academic & Pre-Professional, Special Interest~`","Members of DGSA serve as advocates for geography and support the projects of the Geography Department, allied fields, partner groups, and other community organizations within the Chicagoland area. The organization seeks to connect members to professional, academic, and recreational resources and opportunities. Through our collaboration, DGSA strives to provide our members with a space to celebrate the work we do!~`",Geography~`,https://dehub.depaul.edu/DGSA/club_signup~`
DePaul Hillel~`,Religious & Spiritual~`,Religious & Spiritual~`,"DePaul Hillel seeks to foster vibrant Jewish life on campus in a welcoming, pluralistic atmosphere for all students. We encourage community building, pastor care and religious services.~`","Hillel, Jewish~`",https://dehub.depaul.edu/Hillel/club_signup~`
DePaul Improv and Sketch Comedy~`,General Student Organization~`,Entertainment & Performance~`,"It is the mission of this organization to serve the students of DePaul University by creating a socially responsible pool of comedians and other comedy artists to help each other perfect the craft. By coaching one to two new improv teams, hosting on- and off-campus comedy events, and networking with other comedians in the city, we seek to foster a positive community of people who want to make other people laugh. The power of community cannot be understated in our mission, as it is the key to building both personal success and fulfilling art.~`","Comedy, Improv~`",https://dehub.depaul.edu/DISC2/club_signup~`
DePaul Inclusion In Finance~`,General Student Organization~`,Academic & Pre-Professional~`,"DePaul Inclusion in Finance is an undergraduate student organization at DePaul University with the mission to bridge the gap between qualified diverse candidates and careers in finance. DIF promotes personal development, real-world experiences, and aims to connect students with industry professionals. We aim to foster driven, inclusive, and qualified students and ultimately propel them into a world-class workforce.~`","Finance, Business~`",https://dehub.depaul.edu/DIF/club_signup~`
DePaul Information Systems Student Organization~`,General Student Organization~`,Academic & Pre-Professional~`,"We passionately encourage the pursuit of information systems excellence within DePaul University. Our organization serves as a motivation for students to strive for the highest standards in their studies, inspiring a culture of continuous learning and growth.
 DISSO is dedicated to equipping its members with valuable information systems career and technology insights. We understand the importance of staying current in this dynamic field, and we ensure that our members have access to the latest industry knowledge and trends, empowering them to make informed career choices.
 We are also a vibrant hub of connections. We are committed to providing networking opportunities to all those interested in information systems. Our organization serves as a platform for building meaningful relationships with like-minded individuals, helping you grow both personally and professionally. We believe in human dignity and the power of community.~`","Technology, Computer~`",https://dehub.depaul.edu/DISSO/club_signup~`
DePaul Irish Society~`,General Student Organization~`,Cultural~`,"It is the mission of this organization to serve the DePaul University student body by cultivating a culture of inclusivity, respect, and Vincentian values through the lens of Irish culture. We seek to serve any student with an interest in learning about Irish culture, and aim to make connections with the broader Irish diaspora. We believe in the power of inclusivity in a culture and fostering a community of discovery and camaraderie that is in line with DePaul’s mission and values.~`","Ireland, Irish~`",https://dehub.depaul.edu/DPIS/club_signup~`
DePaul ISACA Student Organization~`,General Student Organization~`,Academic & Pre-Professional~`,"The DePaul ISACA Student Organization is a student group, the purpose of which is, through student empowerment, to expand recognition of the IT Audit and Assurance, Security and IT Governance disciplines, by extending education beyond the classroom on standards, practices and certification.~`","Auditing, Business~`",https://dehub.depaul.edu/ISACADePaul/club_signup~`
"DePaul Jpop Dance Troupe (DePaul, ODORIMASHOU!)~`",General Student Organization~`,Special Interest~`,"Our mission is to create a community for anyone interested in J-pop to congregate and build connections in a space where they can be themselves and have fun. We are open to everyone and anyone who would like to join, regardless of dance experience and knowledge of J-pop. We aim to share Japanese popular music culture by dancing to J-pop, revisiting Japanese music media from our childhood and, exploring new popular Japanese music media together.~`","J-pop, Dance, Japanese~`",https://dehub.depaul.edu/DeJDT/club_signup~`
DePaul Justinians Society of Lawyers~`,Law Student Organization~`,Law~`,"It is the mission of the Justinian Society of Lawyers at DePaul University College of Law (JSL) to promote the Italian and Italian-American cultures through socially responsible leadership and the Vincentian values. We seek to facilitate student involvement, student engagement, and leadership development with the purpose of increasing DePaul affinity. We believe in human dignity and the power of community.~`","Law, Italian~`",https://dehub.depaul.edu/JSL/club_signup~`
DePaul K-pop Dance Club~`,General Student Organization~`,"Entertainment & Performance, Special Interest~`","DKDC aims to spread Korean culture by showcasing Korean pop dance performances. We strive to teach dancers, regardless of skill level, to foster an interest in K-pop culture by learning fun and engaging dances.~`","K-pop, Dance, Korean~`",https://dehub.depaul.edu/dkdc/home/~`
DePaul Latino Law Student Association~`,Law Student Organization~`,Law~`,DePaul's LLSA is composed of Latino law students and students interested in issues affecting the Latino community.~`,"Latino, Law~`",https://dehub.depaul.edu/LLSA/club_signup~`
DePaul Marketing Consulting Group~`,Departmental~`,Academic & Pre-Professional~`,"The mission of the DePaul Marketing Consulting Group is to support DePaul University students by offering hands-on consulting experience with real clients, enhancing their marketing and business skills. We aim to cultivate socially responsible leadership and embody Vincentian values, fostering student involvement, engagement, and professional growth.~`","Marketing, Consulting, Business~`",https://dehub.depaul.edu/DMCG/club_signup~`
DePaul Math Club~`,General Student Organization~`,Academic & Pre-Professional~`,"The core purpose of the DMC is to assist the development and enrichment of the DePaul math community. The members and leadership should be pillars of care and support in academic and emotional settings for the students and faculty in and outside of DePaul. This means taking special care to provide a variety of accessible, reliable, organized spaces with explicit consideration to the deconstructions of racism, anti-queer prejudice, religion-based prejudice, class barriers, indigenous exclusion, misogyny, ableism, xenophobia, and any other form of prejudice or elitism.~`",Math~`,https://dehub.depaul.edu/DpuMC/club_signup~`
DePaul MEDLIFE~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","Our mission is to build a worldwide Movement empowering the poor in their fight for equal access to healthcare, education, and a safe home. The core of our movement is community development work, both locally and internationally, and service learning trips to Peru, Ecuador, Tanzania, or Nicaragua.~`","Health, Medical~`",https://dehub.depaul.edu/MEDLIFE/club_signup~`
DePaul Men's a Capella~`,General Student Organization~`,Entertainment & Performance~`,"Harmony resonates through our voices, as we unite in brotherhood and music. We are an all men's a cappella group, driven by a shared passion for vocal artistry and the power of harmonies.
 Our mission is to captivate hearts, inspire souls, and ignite joy through the timeless beauty of a cappella music. With dedication, talent, and a commitment to excellence, we strive to create exceptional musical experiences that leave a lasting impact on our audience.~`","A cappella, Music~`",https://dehub.depaul.edu/DMaC/club_signup~`
DePaul Men's Club Basketball~`,Club Sports~`,Club Sports~`,"We are DePaul Club Basketball, DePaul University’s premiere basketball team. We increase school pride and represent DePaul throughout the nation. Through our fun and competitive culture, we involve as many students as possible in our community. We hold the highest standard of excellence in our program.~`",Basketball~`,https://dehub.depaul.edu/DPMCBB/club_signup~`
DePaul Men's Club Soccer~`,Club Sports~`,Club Sports~`,"Create an environment that is fully committed to and passionate about the game of soccer. In this team friendships, trust, and discipline will form a strong team on and off the pitch.~`",Soccer~`,https://dehub.depaul.edu/dpumensoccer/club_signup~`
Depaul Mens Rugby~`,Club Sports~`,Club Sports~`,"The mission of the DePaul Mens Rugby club is to work as a team, work hard, and improve the rugby community.~`",Rugby~`,https://dehub.depaul.edu/DepaulMensRugby/club_signup~`
DePaul Mock Trial Team~`,General Student Organization~`,"Academic & Pre-Professional, Special Interest~`","Mock trial's mission is to give students early experience in legal procedures, and a comprehensive, first-hand look at what law looks like in practice. Even if students aren't interested in law specifically, skills and experiences acquired can be important for history, sociology, anthropology, political science, or other subjects that intersect with the law. Mock Trial will teach students invaluable skills that are directly applicable to their academic and personal pursuits. Students who participate gain analytical skills from analyzing cases and facts; as well as how to compose effective arguments and respond to questions or disputes. These kind of abilities are extremely useful in college-level writing and discussions in general. Mock Trial also provides students with the opportunity to develop their professionalism, confidence, and public speaking abilities, all of which are important for both future academic and occupational endeavors. Having these kinds of ability comes in handy for job interviews, class participation in the university setting, and other scenarios students may encounter.~`",Mock trial~`,https://dehub.depaul.edu/Mocktrial/club_signup~`
DePaul Model United Nations~`,General Student Organization~`,"Academic & Pre-Professional, Activist & Political~`","DePaul Model United Nations exists as a conduit for undergraduate and graduate students to explore international politics and policy by studying and simulating the United Nations. As an organization, we focus on fostering curiosity for historical and present-day situations through healthy debate and discourse, allowing students to sharpen their public speaking, research, and critical thinking skills.
 
 We act as a non-sectarian, non-politically partisan student organization with a prime focus of furthering awareness of the global community at DePaul University by simulating international organizations including, but not limited to, the United Nations (UN), the European Union (EU), and the North Atlantic Treaty Organization (NATO).~`",Model United Nations~`,https://dehub.depaul.edu/MUN/club_signup~`
DePaul Music Business Organization~`,General Student Organization~`,"Academic & Pre-Professional, Entertainment & Performance~`","DePaul Music Business Organization (DMBO), is a recognized student organization committed to fostering a space for students interested in bettering their understanding of the music industry by providing student members with hands-on, professional experience and bringing accessible live music to the Greater DePaul community.~`","Music business, Music, Business~`",https://dehub.depaul.edu/DMBO/club_signup~`
DePaul Net Impact~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","Net Impact is an international non-profit organization. Its mission is to inspire and equip emerging leaders to build a more just and sustainable world.
 
 The mission of Net Impact at DePaul is to give both graduate and undergraduate students the platform to learn, engage and collaborate on projects which can have the potential to create positive economic, environmental, social change in their community.~`","Net impact, Sustainability~`",https://dehub.depaul.edu/DNI/club_signup~`
DePaul Neuroscience Club~`,General Student Organization~`,"Academic & Pre-Professional, Special Interest~`","Our mission is to educate, expose, and engage the DePaul community in the multidisciplinary field of Neuroscience. We seek to empower individuals interested in helping others through the advancement of neuroscience.~`","Neuroscience, Science~`",https://dehub.depaul.edu/depaulneuro/club_signup~`
DePaul Nonprofit Management Association~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","To provide resources, professional development, and networking opportunities for DePaul students pursing careers in the nonprofit sector while creating a community that encompasses Vincentian values.~`","Nonprofit, Management, Business~`",https://dehub.depaul.edu/DNMC/club_signup~`
DePaul NSSLHA (National Student Speech Language Hearing Association)~`,Departmental Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","It is the mission of this organization to serve aspiring speech language pathologists and audiologists at the grad and undergrad levels at DePaul University. The organization follows all values of the Vincentian mission such as giving a voice to the voiceless, serving marginalized communities, and advocating for children and adults with disabilities in the communities of Chicago for the greater good. Through advocacy, education, community outreach, and social events we aim to inspire, empower, and support students in the field of communication sciences and disorders.~`",Speech language pathology~`,https://dehub.depaul.edu/preSLP/club_signup~`
DePaul Organization for Intersectional Health~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","The DePaul Organization for Intersectional Health, provides students interested in medicine, health and wellness at DePaul a space and opportunity to engage in scientific discourse with a social justice lens. The DePaul Organization for Intersectional Health is an organization focused on addressing current issues of equity and justice within health, medicine, and wellness. In addition, we will discuss the role that medicine and science has to play in combating current health inequities and disparities. Our goal is to increase awareness and sensitivity surrounding issues of inequity in healthcare to create more well rounded future health professionals, capable of creating positive change. DePaul places an emphasis on diversity, inclusion, social justice, and community involvement. The DePaul Organization for Intersectional Health will further these values, specifically, in the context of medicine, health, and wellness.~`","Intersectional health, Health~`",https://dehub.depaul.edu/DOIH/club_signup~`
DePaul Orthodox Christian Fellowship~`,Religious & Spiritual~`,Religious & Spiritual~`,"To support fellowship on campus, to experience and witness the Orthodox Christian Church through community life, prayer, service to others and study of the Faith.~`",Orthodox Christian~`,https://dehub.depaul.edu/OCF/club_signup~`
DePaul Outdoors Club~`,Club Sports~`,Club Sports~`,The purpose of this organization is to get DePaul students more in touch with the outdoors and to appreciate Chicago’s vast green spaces. We seek to bring nature-lovers and appreciators together to enjoys the outdoors. We hope to bring people together in nature while living in a city.~`,Outdoors~`,https://dehub.depaul.edu/DOC/club_signup~`
DePaul Overwatch~`,General Student Organization~`,"Esports & Gaming, Special Interest~`","The mission of DePaul Overwatch is to bring together an all-inclusive group of students interested in Overwatch and harbor opportunities for those individuals in regards to Overwatch's various aspects and eSports presence. To create a space in which students can come together to learn about the business aspects of Overwatch and eSports and connect players, coaches, managers, graphics designers and alternative roles to bring their efforts to fruition in a team environment.~`","Overwatch, Gaming~`",https://dehub.depaul.edu/DPUOW/club_signup~`
DePaul Pakistani Student Association~`,General Student Organization~`,"Cultural, Special Interest~`","Our primary mission is to promote the academic and social growth of the Pakistani Students of DePaul, in an empowering manner so they may serve the broader DePaul Community.
 
 Our secondary mission is to celebrate the unique culture of Pakistan here in Chicago. We will do so through the conduct of various events, both service and social, in order to promote the mission of DePaul University here in the Chicago land area and within Pakistan. We will encourage an increasing number of Pakistanis seeking a University education to join us as part of the DePaul Family.~`",Pakistani~`,https://dehub.depaul.edu/PSA/club_signup~`
DePaul PokeDemons~`,General Student Organization~`,Esports & Gaming~`,"We exist to bring out the best in all of us and inspire people to be the very best, like no one ever was. Community and compassion can change the world through means that bring out the child within. We share and grow together forming bonds.
 I see now that the circumstances of one's birth are irrelevant; it is what you do with the gift of life that determines who you are. -Mewtwo~`","Pokemon, Gaming~`",https://dehub.depaul.edu/PokeDemons/club_signup~`
DePaul Polish Student Alliance~`,General Student Organization~`,Cultural~`,"DePaul Polish Student Alliance is established to bring people together with interest in Polish, Polish-American and Slavic cultures.~`","Polish, Slavic~`",https://dehub.depaul.edu/DPSA/club_signup~`
DePaul Powerlifting Club~`,Club Sports~`,Club Sports~`,"It is the mission of the DePaul Powerlifting Club to serve the student body of DePaul University through socially responsible leadership and Vincentian values. We seek to facilitate student involvement in competitive and recreational powerlifting all while creating a diverse, inclusive, and supportive community of students to learn, grow, and enjoy the sport.
 
 As part of a sport that categorizes athletes by weight, age, and sex, we strongly believe anyone can be a powerlifter and be a part of this community. Whether you are an active gym goer looking to compete or are interested in learning more about fitness and the powerlifting community, DePaul Powerlifting is dedicated to helping students learn and teach the fundamentals of the big 3 lifts.
 
 The DePaul Powerlifting Club will offer students the opportunity to enter in intercollegiate competitions at local, state, regional, and national level competitions.~`","Powerlifting, Weightlifting, Fitness~`",https://dehub.depaul.edu/depaulpowerlifitng/club_signup~`
DePaul Pre-Vet & Animal Science~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","It is the mission of this organization to serve the student organizations of DePaul University through socially responsible leadership and the Vincentian values. We seek to facilitate student involvement, student engagement, and leadership development with the purpose of advancing students on their journey to veterinary careers by building experience and knowledge. We serve the community of students interested in animals and veterinary medicine. Our values reflect DePaul’s mission through a focus on service, social responsibility, and respect for all life.~`",Veterinarian~`,https://dehub.depaul.edu/dpupvc/club_signup~`
DePaul Private Equity and Venture Capital Club~`,General Student Organization~`,Academic & Pre-Professional~`,"The Private Equity & Venture Capital Club (PEVC Club) brings together DePaul’s community of undergraduate, graduate, and professionals in the alternative investments industry. Our focus lies on raising awareness for the private equity and venture capital industry on campus by enhancing our students’ knowledge on the topic through events, panels, and networking opportunities. Our members can profit from these opportunities through professional development, building skills, confidence, and knowledge in the alternatives industry.~`","Private Equity, Investments~`",https://dehub.depaul.edu/PEVC/club_signup~`
DePaul Public Relations Student Society of America~`,General Student Organization~`,Academic & Pre-Professional~`,"We are DePaul PRSSA, the only public relations (PR) pre-professional group on campus, but we’re open to all communications, marketing, journalism, and advertising majors. PRSSA is helpful at any point in your college career whether you’re a freshman or senior. We host meetings and events throughout the quarter where we bring in professionals from the many disciplines of PR from non-profit to big agencies. We also host social events and agency tours where we take students directly into some of the most sought-after employers. Additionally, we have hosted PRSSA’s Midwest District Conference for more than 10 years, bringing in students from all over the country to DePaul. Overall, we are the organization for any PR major because we regularly provide educational panels, hold workshops on resumes and job applications, and also provide opportunities to network with professionals and PR peers. We do this all through socially responsible leadership and follow the Vincentian values of our institution.~`","Public Relations, Communications, Marketing~`",https://dehub.depaul.edu/PRSSA/club_signup~`
DePaul Real Estate Club~`,General Student Organization~`,"Academic & Pre-Professional, Special Interest~`","The DePaul University Real Estate Club is dedicated to fostering a dynamic community of students passionate about real estate. Our mission is to provide a platform for networking, education, and professional development, empowering members to thrive in the ever-evolving real estate industry.
 
 We aim to create a collaborative environment where students can explore various aspects of the real estate sector, including investment, development, brokerage, and property management. Through engaging events, workshops, and industry partnerships, we strive to broaden our members' knowledge and expose them to diverse perspectives within the field.~`","Real estate, Business~`",https://dehub.depaul.edu/DREC/club_signup~`
DePaul Residence Hall Council~`,Departmental Student Organization~`,"Community Service & Engagement, Entertainment & Performance~`","DePaul University RHC is a student-run organization established to represent the needs and issues pertinent to every residence hall. RHC seeks input from all residents and endeavors to build community, encourage personal growth, and improve residence life overall.
 
 RHC will plan community-building and community-improvement events in each residence hall, as well as throughout campus by means of RHC's four planning committees: Philanthropy & Recognition (has a focus on community service and recognizing integral members of the DePaul community), Large Scale (has a focus on larger events that create a sense of fun), Student Success (has a focus on the wellbeing of students), and Social Justice (has a focus on equity, inclusion, and justice).~`","Residence Hall Council, Event planning~`",https://dehub.depaul.edu/RHC/club_signup~`
DePaul Role Playing Games~`,General Student Organization~`,"Entertainment & Performance, Esports & Gaming~`","The mission of DeRPG is to create a safe, fun and engaging environment for the tabletop gaming community at DePaul. In addition, we seek to provide opportunities for personal, professional, and academic development through service events and community collaborations.~`","Role Playing Games, Gaming~`",https://dehub.depaul.edu/DeRPG/club_signup~`
DePaul Snow Club~`,Club Sports~`,Club Sports~`,"Bringing together athletes in positive and enjoyable experiences, regardless of ability.~`","Skiing, Snowboarding, Snow~`",https://dehub.depaul.edu/depaulsnow/club_signup~`
DePaul South Asian Students Association~`,Religious & Spiritual~`,Religious & Spiritual~`,"The purpose of the South Asian Students Association shall ultimately be to cultivate leaders who will strive to maximize the potential, increase the awareness, and preserve the legacy of all South Asians. This purpose will be achieved by not only raising awareness of social, political, and cultural issues relevant to South Asians, but by also providing the opportunity to actively address these issues. The efforts of this organization shall be inclusive to all within the DePaul community.~`","South Asian, Asian~`",https://dehub.depaul.edu/SASA/club_signup~`
DePaul Speech and Debate Society~`,General Student Organization~`,"Academic & Pre-Professional, Special Interest~`",To empower students through speech and debate by providing opportunities to enhance public speaking and critical thinking skills through intellectually stimulating motions and a platform to discuss ideas freely and respectfully.~`,"Speech, Debate, Communications~`",https://dehub.depaul.edu/DSDS/club_signup~`
DePaul Sports Business Club~`,General Student Organization~`,Academic & Pre-Professional~`,"This organization is rooted in the Vincentian values that are included within business professionalism. Community, development, and passion are our founding values that we aim every member embodies in the club. We will aid fellow students with their journey in the sports industry by building a safe space where everyone is welcome.~`","Sports business, Business~`",https://dehub.depaul.edu/SBC/club_signup~`
DePaul STEMinists~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","It is the mission of this organization to provide a safe, educational, and empowering environment for gender-minorities in STEM at DePaul University.~`","STEM, science, technology~`",https://dehub.depaul.edu/STEMinists/club_signup~`
DePaul Student Government Association~`,General Student Organization~`,"Activist & Political, Community Service & Engagement~`","The Student Government Association (SGA) is the official representative body for students attending DePaul University. As such, SGA is committed to promoting and advocating the student voice and opinion. Our mission might be best summed up in the phrase, ""We are interested students working for student interests!""~`",Student Government~`,https://dehub.depaul.edu/SGA/club_signup~`
DePaul Student Nurses Association~`,General Student Organization~`,"Academic & Pre-Professional, Community Service & Engagement~`","We are an organization of student nurses focused on career development, community engagement, intra-professional networking, social opportunities, and leadership cultivation across all cohorts of the DePaul MENP program.~`","Nursing, Science, Health~`",https://dehub.depaul.edu/DSNA/club_signup~`
DePaul Student Veterans Union~`,~`,Special Interest~`,"The purpose of this organization is to develop, facilitate, and implement events to advocate for three primary goals: to ensure academic and professional success, to promote a healthy transition to post-military service, and to function as a bridge for communication between veterans and non-veterans.
 
 These are similar to the mission and values of DePaul University in that we both put an emphasis on understanding and support of a diverse student population. We exist to serve by providing opportunities to all students.~`","Military, Veterans~`",https://dehub.depaul.edu/DePaulSVU/club_signup~`
DePaul Swim Club~`,Club Sports~`,Club Sports~`,The purpose of our organization is to give DePaul students an opportunity to continue to swim after high school. It is difficult to leave a passion of someone's in the past and we are dedicated to providing an equal opportunity for DePaul students to swim competitively.~`,Swim~`,https://dehub.depaul.edu/DPSC/club_signup~`
DePaul Thaakat~`,General Student Organization~`,Community Service & Cultural~`,"Our main mission is to promote charitable giving among students and young professionals in the local and national community and beyond, drive a movement of creative altruism, unparalleled giving, and preservation of diversity and culture, and bring hands on volunteerism to our local communities and hope to our global society~`","Thaakat, Volunteer~`",https://dehub.depaul.edu/Thaakat/club_signup~`
DePaul TV Productions (DePaul TV Incubator)~`,General Student Organization~`,Media & Publications~`,"DePaul TV Productions serves to provide both the introduction and opportunity for students to engage in the production of television or series-based content under the principles of digital cinema through socially responsible leadership and based off of Vincentian values. Though the club is intended to be embodied by students of the School of Cinematic Arts, the club will welcome any new member who seeks interest and experience in the production of this type of media. Additionally, as a club we also strive to seek out and publish our produced content through festivals and contests as to grow both the club’s academic career/standing and the career of its student members.~`","Cinema, Film, TV~`",https://dehub.depaul.edu/DTV/club_signup~`
DePaul University ACM Student SIGGRAPH Chapter~`,General Student Organization~`,Academic & Pre-Professional~`,"It is the mission of the DSSC to serve as a space for students interested in CGI and VFX at DePaul University to exchange projects and methodologies, explore innovative software and techniques, and forge connections with peers and experts in the industry.
 
 Additionally, the DSSC seeks to facilitate student involvement, student engagement, and leadership development through workshops, community and networking events. We aim to create an inclusive safe space for students and faculty of diverse cultures and genders.
 
 Lastly, the DSSC is committed to advancing the skills and knowledge of the members across various CGI-VFX applications including Video Games, Computer Animation, Film, TV and Artificial Intelligence in tandem to ACM SIGGRAPH.~`","CGI, VFX, Film~`",https://dehub.depaul.edu/DSSC/club_signup~`
DePaul University Association of Black Journalists~`,General Student Organization~`,"Cultural, Media & Publications~`","The mission of DePaul University Association of Black Journalists is to equip African American journalists and communications majors with professional career skills. At DUABJ our members connect and create meaningful relationships with journalism students, media-related students and working professionals.~`","Black community, Journalism, Communications~`",https://dehub.depaul.edu/DUOABJ/club_signup~`
DePaul University Chapter of the Society of Professional Journalists~`,General Student Organization~`,Academic & Pre-Professional~`,"The Society of Professional Journalists is the nation's most broad-based journalism organization, dedicated to encouraging the free practice of journalism and stimulating high standards of ethical behavior. Works to inspire and educate current and future journalists through professional development; and protects First Amendment guarantees of freedom of speech and press through its advocacy efforts.~`",Journalism~`,https://dehub.depaul.edu/SPJDePaul/club_signup~`
DePaul University Chess Club~`,General Student Organization~`,Esports & Gaming~`,"Our mission is to foster a safe and fun environment to all students and faculty members who wish to further their knowledge in the game of chess. As a non-competitive club, we are welcoming to all types of students and faculty, as well as all skill levels. The purpose of this club is to associate like-minded individuals so that friendships are created and everyone can bond over their love for the game.~`",Chess~`,https://dehub.depaul.edu/DPUCC/club_signup~`
DePaul University Club Baseball~`,Club Sports~`,Club Sports~`,Our mission is to provide DePaul students with an opportunity to play baseball in an organized and competitive environment. We emphasize teamwork and leadership in our pursuit of creating a strong and successful organization. All are welcome to join our team and play ball!~`,Baseball~`,https://dehub.depaul.edu/DPBaseball/club_signup~`
DePaul University Club Pickleball Team~`,Club Sports~`,Club Sports~`,"The DePaul University Club Pickleball team aims to promote the sport of pickleball and provide an inclusive and welcoming Community for all DePaul students to enjoy the game. We aim to provide opportunities for members to improve their skills through regular practices, clinics, and tournaments. Our goal is to foster a fun and competitive environment that promotes physical activity, sportsmanship, and teamwork.~`",Pickleball~`,https://dehub.depaul.edu/DCPT/club_signup~`
DePaul University Korean Association~`,General Student Organization~`,Cultural~`,"DePaul University Korean Association (DUKA) is an organization that serves Korean members at DePaul University. Our mission is to share the Korean culture DePaul community. We seek to facilitate Korean students' involvement, engagement, and leadership development with the purpose of increasing DePaul's affinity as well as the general members of DePaul University.~`",Korean~`,https://dehub.depaul.edu/DUKA/club_signup~`
